Year,Q1,Q2,Q3,Q4
2003,183,183.6666667,184.5666667,184.6
2004,186.2666667,188.9333333,189.6,190.7333333
2005,191.9333333,194.5,196.8666667,197.8666667
2006,198.9333333,202.3,203.4333333,201.7
2007,203.7556667,207.6623333,208.2353333,209.7163333
2008,212.1003333,216.7566667,219.2776667,213.0753333
2009,212.015,214.263,215.718,216.152
2010,217.0196667,218.0506667,218.254,218.8976667
2011,221.6663333,225.5306667,226.452,226.1076667
2012,227.9066667,229.7926667,230.2966667,230.3796667
2013,231.7396667,232.9933333,233.874,233.2213333
2014,234.9966667,237.7716667,238.0443333,236.132
2015,234.8493333,237.6806667,238.305,237.233
2016,237.3863333,240.1693333,240.9683333,241.5046667
2017,243.4143333,244.7373333,245.708,246.6186667
2018,248.804,251.3743333,252.197,252.052
2019,252.8966667,255.9276667,256.6293333,257.176
2020,258.2546667,256.86,259.7663333,260.3636667
2021,263.1576667,269.315,273.6266667,277.7796667
2022,284.1226667,292.572,296.4183333,297.5066667
2023,300.6153333,304.1996667,306.8353333,307.156
2024,310.3583333,,,
