Year,Q1,Q2,Q3,Q4
2003,183.2666667,184.6333333,185.9333333,185.3
2004,187.0666667,189.2,191.0333333,190.8333333
2005,192.8666667,194.8,196.8333333,198.4
2006,200.6,202.5333333,204.9333333,204.5666667
2007,207.1046667,209.364,211.083,210.793
2008,213.2196667,216.2133333,218.9806667,216.641
2009,217.1606667,217.3893333,217.6966667,215.981
2010,215.9296667,216.1856667,216.8846667,216.024
2011,217.235,218.646,220.4253333,220.1
2012,221.1363333,222.2346667,223.6386667,223.8513333
2013,225.2716667,226.9833333,228.582,228.5676667
2014,231.043,232.7756667,234.5736667,234.469
2015,235.9786667,237.5066667,239.3446667,239.4113333
2016,240.9746667,242.9603333,245.5116667,246.4433333
2017,248.5376667,250.5063333,252.4896667,253.3823333
2018,255.6526667,257.862,259.6976667,260.7003333
2019,263.0756667,265.35,267.3953333,267.985
2020,270.0073333,270.946,272.809,273.3293333
2021,275.167,278.7573333,282.5796667,286.3763333
2022,291.6566667,298.018,304.4513333,309.087
2023,315.2306667,318.495,322.1813333,324.7796667
2024,329.7243333,,,
