Year,Q1,Q2,Q3,Q4
2003,148.4,147.9,142.6666667,132.7
2004,131,131.2333333,134.1333333,136.9333333
2005,137.6,138.9333333,141.5,139.7333333
2006,139.6,140.9333333,141.8333333,137.6
2007,134.7453333,134.637,136.768,136.8363333
2008,137.2253333,136.364,134.7203333,127.495
2009,122.9203333,122.7286667,127.486,134.756
2010,140.063,142.7503333,146.7843333,142.9146667
2011,143.188,148.7016667,154.531,149.6213333
2012,147.6103333,153.3193333,153.928,146.463
2013,146.9103333,151.0063333,152.5186667,149.112
2014,147.974,151.305,152.429,144.667
2015,143.958,150.4903333,150.1823333,143.8473333
2016,144.29,147.005,144.2656667,138.3926667
2017,138.2226667,140.5146667,138.67,135.6286667
2018,138.0716667,138.988,138.9706667,137.5096667
2019,139.538,140.0563333,141.8116667,137.6463333
2020,138.0683333,138.2363333,148.0483333,152.532
2021,151.251,182.3446667,196.0556667,200.862
2022,210.183,209.4446667,210.1483333,193.8566667
2023,184.6983333,198.3256667,195.993,185.8713333
2024,180.1023333,,,
