Year,Q1,Q2,Q3,Q4
2003,139.4,138.7,136.6333333,137.3333333
2004,138.0666667,137.6333333,135.2333333,137.5333333
2005,139.6,138.8666667,135.7,137.8
2006,139.1333333,138.3,136.5333333,136.9
2007,137.3903333,136.8286667,135.182,136.086
2008,136.2776667,135.1903333,133.4,132.3103333
2009,134.0233333,134.8786667,134.9036667,138.3186667
2010,138.7313333,138.1746667,137.269,138.2126667
2011,139.981,141.6053333,142.4746667,142.7413333
2012,144.038,144.4243333,143.809,144.6513333
2013,145.9283333,146.044,145.4996667,145.6323333
2014,146.2163333,146.5933333,145.9463333,146.437
2015,147.159,147.769,146.8093333,146.7123333
2016,147.9836667,147.9226667,146.777,147.074
2017,148.7946667,148.3443333,145.6463333,145.6106667
2018,146.8433333,146.3816667,146.13,145.8466667
2019,147.3576667,147.7623333,146.4483333,145.8913333
2020,147.3933333,147.1176667,147.5253333,148.37
2021,149.4043333,150.452,158.6996667,164.5636667
2022,167.8883333,169.7016667,174.5093333,176.3246667
2023,177.8116667,178.8543333,179.7123333,178.805
2024,178.478,178.247,,
