Year,Quarter,Auto.Rates.48.mo
2003,Q1,7.05
2003,Q2,6.76
2003,Q3,6.82
2003,Q4,6.72
2004,Q1,6.43
2004,Q2,6.55
2004,Q3,6.71
2004,Q4,6.86
2005,Q1,6.92
2005,Q2,7.08
2005,Q3,7.43
2005,Q4,7.39
2006,Q1,7.6
2006,Q2,7.95
2006,Q3,7.92
2006,Q4,7.74
2007,Q1,7.92
2007,Q2,7.82
2007,Q3,7.59
2007,Q4,7.27
2008,Q1,6.84
2008,Q2,6.92
2008,Q3,7.06
2008,Q4,6.92
2009,Q1,6.79
2009,Q2,6.61
2009,Q3,6.55
2009,Q4,6.45
2010,Q1,6.26
2010,Q2,6.24
2010,Q3,5.87
2010,Q4,5.85
2011,Q1,5.79
2011,Q2,5.89
2011,Q3,5.4
2011,Q4,5.07
2012,Q1,4.88
2012,Q2,4.88
2012,Q3,4.82
2012,Q4,4.69
2013,Q1,4.13
2013,Q2,4.46
2013,Q3,4.42
2013,Q4,4.23
2014,Q1,4.5
2014,Q2,4.16
2014,Q3,4.06
2014,Q4,4.53
2015,Q1,4.15
2015,Q2,4.09
2015,Q3,4
2015,Q4,4.17
2016,Q1,4.33
2016,Q2,4.25
2016,Q3,4.45
2016,Q4,4.52
2017,Q1,4.67
2017,Q2,4.42
2017,Q3,4.81
2017,Q4,4.74
2018,Q1,5.05
2018,Q2,5.05
2018,Q3,5.29
2018,Q4,5.5
2019,Q1,5.35
2019,Q2,5.27
2019,Q3,5.45
2019,Q4,5.29
2020,Q1,5.13
2020,Q2,4.98
2020,Q3,4.95
2020,Q4,5.21
2021,Q1,5.28
2021,Q2,5.14
2021,Q3,4.58
2021,Q4,4.87
2022,Q1,5.15
2022,Q2,5.52
2022,Q3,6.94
2022,Q4,7.46
2023,Q1,7.59
2023,Q2,8.3
2023,Q3,.
2023,Q4,
2024,Q1,
2024,Q2,
