Year,    New vehicle sales,Used,Total,Percent.New,Percent.Used
1990,227.1015,219.80988,446.91138,0.508157792,0.491842208
1991,208.2992,229.08651,437.38571,0.476236867,0.523763133
1992,240.46295,245.93407,486.39702,0.49437587,0.50562413
1993,267.264,256.562326,523.826326,0.510214907,0.489785093
1994,291.1851,290.817839,582.002939,0.500315515,0.499684485
1995,291.93387,319.17817,611.11204,0.477709243,0.522290757
1996,297.8777,329.394867,627.272567,0.474877614,0.525122386
1997,306.450567,335.621646,642.072213,0.477283646,0.522716354
1998,316.1391949,335.358631,651.4978259,0.485249808,0.514750192
1999,348.1524094,349.834603,697.9870124,0.498794968,0.501205032
2000,380.2443191,355.721575,735.9658941,0.516660245,0.483339755
2001,369.442708,367.350988,736.793696,0.501419475,0.498580525
2002,370.7442009,349.784379,720.5285799,0.514544754,0.485455246
2003,381.7735674,356.419499,738.1930664,0.51717306,0.48282694
2004,407.3075596,357.800681,765.1082406,0.532352859,0.467647141
2005,421.4626456,354.67438,776.1370256,0.543026079,0.456973921
2006,444.7287986,340.900786,785.6295846,0.566079495,0.433920505
2007,435.3490064,339.063078,774.4120844,0.562167114,0.437832886
2008,350.9451685,291.731244,642.6764125,0.546068226,0.453931774
2009,273.77498,301.088002,574.862982,0.476243885,0.523756115
2010,346.8981171,597.961116,944.8592331,0.367142644,0.632857356
2011,391.1086528,616.577928,1007.686581,0.388125296,0.611874704
2012,446.4262955,627.631357,1074.057652,0.41564463,0.58435537
2013,495.3104039,608.187835,1103.498239,0.44885473,0.55114527
2014,534.9190499,641.47986,1176.39891,0.454708896,0.545291104
2015,579.9273772,692.940284,1272.867661,0.455606969,0.544393031
2016,598.5226821,741.167347,1339.690029,0.446762064,0.553237936
2017,606.4302061,764.472033,1370.902239,0.442358462,0.557641538
2018,626.1598442,808.682476,1434.84232,0.436396275,0.563603725
2019,636.4612359,840.615527,1477.076763,0.430892457,0.569107543
2020,571.3191036,,571.3191036,0.430892457,0.569107543
2021,682.5968747,,682.5968747,0.430892457,0.569107543
2022,643.9554959,,643.9554959,0.430892457,0.569107543
2023,,,,0.430892457,0.569107543
2024,,,,0.430892457,0.569107543
