Year,Quarter,CC.Rates
2003,Q1,12.12
2003,Q2,12.47
2003,Q3,12.35
2003,Q4,12.67
2004,Q1,12.69
2004,Q2,13.02
2004,Q3,12.51
2004,Q4,12.21
2005,Q1,12.77
2005,Q2,12.48
2005,Q3,12.58
2005,Q4,13.3
2006,Q1,13.16
2006,Q2,13.06
2006,Q3,13.31
2006,Q4,13.41
2007,Q1,13.46
2007,Q2,13.59
2007,Q3,12.75
2007,Q4,12.47
2008,Q1,11.88
2008,Q2,11.94
2008,Q3,12.03
2008,Q4,12.97
2009,Q1,13.32
2009,Q2,13.71
2009,Q3,13.6
2009,Q4,14.26
2010,Q1,13.84
2010,Q2,13.59
2010,Q3,13.44
2010,Q4,13.44
2011,Q1,12.89
2011,Q2,12.28
2011,Q3,12.36
2011,Q4,12.34
2012,Q1,12.06
2012,Q2,11.95
2012,Q3,11.88
2012,Q4,11.94
2013,Q1,11.95
2013,Q2,11.88
2013,Q3,11.85
2013,Q4,11.83
2014,Q1,11.83
2014,Q2,11.82
2014,Q3,11.99
2014,Q4,11.98
2015,Q1,12.04
2015,Q2,12.1
2015,Q3,12.22
2015,Q4,12.31
2016,Q1,12.16
2016,Q2,12.51
2016,Q3,12.41
2016,Q4,12.54
2017,Q1,12.77
2017,Q2,13.08
2017,Q3,13.16
2017,Q4,13.63
2018,Q1,14.14
2018,Q2,14.38
2018,Q3,14.73
2018,Q4,15.09
2019,Q1,15.13
2019,Q2,15.1
2019,Q3,14.87
2019,Q4,15.09
2020,Q1,14.52
2020,Q2,14.58
2020,Q3,14.65
2020,Q4,14.75
2021,Q1,14.61
2021,Q2,14.54
2021,Q3,14.51
2021,Q4,14.56
2022,Q1,15.13
2022,Q2,16.27
2022,Q3,19.07
2022,Q4,20.09
2023,Q1,20.84
2023,Q2,21.19
2023,Q3,.
2023,Q4,
2024,Q1,
2024,Q2,
