Year,Quarter,Mortgage,HE.Revolving,Auto.Loan,Credit.Card,Student.Loan,Other,Total,Number.Auto.Loan,Number.Credit.Card,Number.Mortgage,Number.HE.Revolving,CC.Delinquency.Current.Percent,CC.Delinquency.30.days.late.Percent,CC.Delinquency.60.days.late.Percent,CC.Delinquency.90.days.late.Percent,CC.Delinquency.120.or.moredays.late.Percent,CC.Delinquency.Severely.Derogatory.Percent,Percent.of.Mortgage.90.days.delinquent,Percent.of.HELOC.90.days.delinquent,Percent.of.Auto.90.days.delinquent,Percent.of.CC.90.days.delinquent,Percent.of.Student.Loan.90.days.delinquent,Percent.of.Other.90.days.delinquent,Percent.of.All.90.days.delinquent,Salary,Mortgage.Rate,Auto.Rates.48.mo,CC.Rates,Student.Loan.Rate,Year.Quarter
2003,Q1,2.695525645199068,0.130956711507647,0.4452315072028059,0.3770491803278688,0.18334606569900685,0.26229508196721313,3.9110581262046025,73.51,469.81,79.54,13.41,95.1,1.8,0.6,0.3,0.8,1.5,1.21,0.35,2.33,8.84,6.13,7.23,2.57,65860,5.84,7.05,12.12,3.42,2003 Q1
2003,Q2,2.751399170021917,0.14081964256017687,0.4331363024182022,0.3756805806940688,0.18246325397426844,0.26678765875375904,3.967823354448124,70.76,468.94,79.73,14.22,95.3,1.6,0.5,0.3,0.8,1.4,1.14,0.28,2.26,8.9,6.14,7.13,2.49,65860,5.51,6.76,12.47,3.42,2003 Q2
2003,Q3,2.785944783575824,0.1452133381400526,0.48729315310928767,0.3738486544385319,0.18404907979976667,0.2600686291746309,4.052368558438327,75.94,457.64,79.34,15.55,95.4,1.6,0.5,0.3,0.8,1.3,1.1,0.22,2.16,8.67,6.27,6.88,2.39,65860,6.03,6.82,12.35,3.42,2003 Q3
2003,Q4,3.0545062061521855,0.16189962223421478,0.5181491543173049,0.37919826652221017,0.1796407185198465,0.2437703141928494,4.357523563418765,77.64,452.71,83.42,16.1,95.5,1.6,0.5,0.3,0.7,1.4,1.06,0.31,2.16,9.24,6.23,7.47,2.35,65860,5.92,6.72,12.67,3.42,2003 Q4
2004,Q1,3.1218816815534773,0.17640769775901502,0.5342753985007397,0.3758052969978874,0.1852291616753196,0.24158911949864187,4.449959194309761,79.22,449.62,83.95,16.73,95.7,1.5,0.5,0.2,0.7,1.3,1.01,0.21,2.32,9.27,6.34,7.68,2.31,65760,5.6,6.43,12.69,3.37,2004 Q1
2004,Q2,3.1553911205073994,0.1955602536997886,0.5496121863724516,0.37050105863982025,0.18431001886004017,0.22230063518389212,4.4933652544033515,80.73,458.26,84.74,17.66,95.7,1.5,0.5,0.2,0.7,1.3,1,0.15,2.17,8.85,6.38,7.74,2.22,65760,6.11,6.55,13.02,3.37,2004 Q2
2004,Q3,3.250741581443158,0.2250916070886567,0.5567146707797463,0.3744725738396624,0.22753390030511006,0.21624472573839662,4.623265158889621,81.7,447.07,84.87,19.75,95.7,1.5,0.5,0.2,0.7,1.3,1.08,0.18,2.27,8.65,6.5,7.48,2.24,65760,5.89,6.71,12.51,3.37,2004 Q3
2004,Q4,3.3327510922851973,0.24628820965000667,0.5318655010638168,0.3774903880422038,0.2358490566037736,0.22020272635795224,4.708597917399176,78.48,448.43,85.3,20.84,95.7,1.5,0.5,0.2,0.7,1.3,1.08,0.21,2.42,9.18,6.32,7.01,2.26,65760,5.74,6.86,12.21,3.37,2004 Q4
2005,Q1,3.3753888691020757,0.25924645692028236,0.5263687217574969,0.3699201112139493,0.2414486921529175,0.20319555404709894,4.734119713040903,78.5,451.95,85.56,21.91,95.9,1.5,0.4,0.2,0.7,1.3,1.01,0.25,2.38,9.59,6.03,7.25,2.21,66780,5.77,6.92,12.77,5.3,2005 Q1
2005,Q2,3.4394250513347018,0.2720739219712526,0.5543670996970359,0.37017994858611825,0.24672149361041978,0.20565552699228795,4.841701548581397,82.38,450.14,86.3,22.59,96.2,1.4,0.4,0.2,0.6,1.2,0.87,0.24,1.99,9.23,6.71,6.17,2.02,66780,5.71,7.08,12.48,5.3,2005 Q2
